,MAPE (%)
0,6.76492368641069
1,11.993807056932296
2,12.386416893164975
3,12.379171915436155
4,11.665568423109503
5,10.516518846311358
6,8.637783996982588
7,7.4407938423176185
8,7.1123351141631375
9,7.377021471876252
10,6.7107121923078035
11,6.023379507750079
12,5.375619313820532
13,5.258786965971344
14,4.847246300449264
15,5.062492891945375
16,5.172761511026383
17,5.327054645574548
18,5.596764174495102
19,5.651534759245418
20,5.5450106481274375
21,5.595787827344819
22,5.087471546804935
23,4.342013570759433
24,4.691360318090668
25,5.229801422361004
26,5.620303037596772
27,5.8395701145990575
28,5.275145734488242
29,4.71298102279095
30,4.539852959888199
31,4.144522287684555
32,3.6862602074559514
33,3.6853217547016723
34,3.417063735215297
35,3.0409675163980685
36,2.542887719415195
37,2.3674009301671113
38,2.3614320580459793
39,2.953859286462166
40,2.7892523203883015
41,2.989892782059136
42,3.272560548809378
43,3.713232215770865
44,4.044333440534966
45,3.9495932085016623
46,3.6954700603105746
47,4.1503099904954075
48,4.586325493987302
49,4.598731060820023
50,5.269813331801617
51,5.859987785581138
52,5.957423819463773
53,6.208044466570701
54,6.109261949965747
55,5.683877105969002
56,5.101908114802021
57,4.789719660607263
58,4.326136515693834
59,3.667957715669795
60,3.5648435541586596
61,3.5526242078850627
62,4.044499007897809
63,4.094374596544323
64,4.143462342014313
65,4.163410456702582
66,4.227988341017422
67,4.446717735104918
68,4.779320715658983
69,4.9714716724653485
70,4.948150614800364
71,5.3331876396426345
72,5.8975063118865325
73,5.392933505057282
74,5.1585388837096335
75,5.3166130751600305
76,5.244013338824067
77,5.667380905943316
78,5.8253759589964735
79,5.528734906225922
80,4.851444132702431
81,4.518889141585055
82,4.0803719820900035
83,3.4955671675536455
84,2.9034514141992327
85,2.9409137620501244
86,2.57340221443723
87,2.360701376200503
88,2.318883227905319
89,2.417000421715478
90,2.621763027009051
91,2.9706779624588737
92,2.9991957584813695
93,2.529718866817753
94,2.19660525005047
95,2.3764127646440683
96,2.5463394260873975
97,2.6160388899723204
98,2.7285769332755083
99,2.6503506847231484
100,2.660236653558605
101,2.600065020325084
102,2.3551581380576616
103,2.2614731505430403
104,2.2500402457788495
105,2.450246805793097
106,2.6220845473320997
107,3.2518160736736226
108,4.261955894717335
109,3.7983416470893094
110,3.0471310209685005
111,3.153968103664969
112,3.1613594438072594
113,3.264471304846007
114,3.442722342586761
115,3.6282803589938095
116,3.8309434112574654
117,3.8525138174482674
118,3.6214904989846373
119,3.3006896130036307
120,2.8201569847336683
121,2.5953989240451065
122,2.455206109514168
123,2.5721842654324325
124,2.69855635473566
125,2.7578764590388283
126,2.8151211388841517
