,MAPE (%)
0,4.441716925139839
1,2.3245742107741036
2,2.306122563233851
3,2.3533858157745766
4,2.178623167970234
5,1.981474691395419
6,1.6013417511414914
7,1.2915952760383518
8,1.2260501664520786
9,1.6233729202102185
10,1.543191602702568
11,1.5000864931221245
12,1.7037324197229888
13,1.8017232862192676
14,1.4207003694915403
15,1.2670633913313645
16,1.2782558358792921
17,1.2233687247979705
18,1.1843893954355493
19,1.1399286961056203
20,1.1450906159303114
21,1.1730546843863856
22,0.9747177849622192
23,0.9295784666137126
24,1.0952319818921483
25,1.2715402662269166
26,1.5042017185423908
27,1.729285629554494
28,1.7738517070032922
29,1.6781524258437996
30,1.5543215970954145
31,1.187403678967593
32,1.0966751991826125
33,1.2035708203864313
34,1.2871044920708203
35,1.3653661478750905
36,1.294705276345886
37,1.2509513217876558
38,1.216375010086363
39,1.230000081229153
40,1.478759148189163
41,1.7983054744064946
42,1.9599404397084903
43,1.99525612765648
44,1.9179477948732044
45,1.9861560454448743
46,2.122647743049663
47,2.3820255990451655
48,2.6714923421416685
49,2.960631536200331
50,3.2555461914800694
51,3.444181226623876
52,3.3946225677433364
53,3.230537431982002
54,2.8894908319677763
55,2.467648079398263
56,2.3653565261503102
57,2.5927884056004222
58,2.599149088841442
59,2.218672886768012
60,2.1052205998622746
61,2.081967745050316
62,1.8994773257965492
63,1.837382469543837
64,1.7882227886719628
65,1.8444407359608919
66,1.9727319092845006
67,2.0559662384497126
68,2.043818415082695
69,2.1708556434070183
70,2.613776681410117
71,3.0455740226150962
72,3.4058670805090703
73,3.637008547788498
74,3.8336951534855155
75,4.02463533811493
76,3.8342972197775453
77,3.511088605472807
78,3.1511842750621715
79,2.7922534278268176
80,2.6385039157440304
81,2.6972552412879325
82,2.3325623454801963
83,1.9929764422297043
84,1.9930964190864364
85,2.2192985550664273
86,2.1360764424952148
87,2.212979776634859
88,2.2873506739744935
89,2.3962502865076893
90,2.465539227331752
91,2.5748497548580813
92,2.7328607045286155
93,2.8795214161294895
94,2.8363191169678195
95,2.8652436827249455
96,3.007039189937654
97,3.1865009982277024
98,3.301193748264633
99,3.3346444260551085
100,3.173725723963135
101,3.0163851827184436
102,2.725411510792651
103,2.5524846242220165
104,2.502940364547193
105,2.5504157138108337
106,2.791030968358288
107,2.944315734195634
108,3.0943591534903296
109,2.614554310622487
110,2.3156727813230997
111,2.2388973804608323
112,2.353944059449585
113,2.3479396823709817
114,2.4003388131235854
115,2.307793301349474
116,2.1934447016949
117,2.122607625996885
118,2.2664190358524747
119,2.453419729896929
120,2.3123489273368785
121,2.195118111354446
122,2.1440912165722534
123,2.230293593101869
124,2.300732861483622
125,1.9690254797403592
126,1.701572727688561
127,1.6436853425049067
128,1.7577294400622359
129,1.8568296086731864
130,2.118694557647585
131,2.3331788277305576
132,2.4397075136336692
133,2.631635140099887
134,2.82309091796442
135,2.625112953055744
136,2.4179990665992546
137,2.3059829441603052
138,2.1086884017654732
139,2.1548325821714873
140,2.277587054401607
141,2.3080268935639103
142,2.1432261585780323
143,2.019006338568383
144,2.076480155467802
145,2.1932549638406087
146,2.380676168087282
147,2.5722752936908218
148,2.695008240807694
149,2.8521505857787384
150,2.883774847156358
151,2.9766887571801903
152,3.1616477322602394
153,3.334454295910067
154,3.53609328311253
155,3.6136267936966475
156,3.4630635051195737
157,3.5276711986815
158,3.4966014025375554
159,3.439238457752921
160,3.4465959650175626
161,3.5055537772131093
162,3.5661537894888484
163,3.6170727007520305
164,3.5798115635598586
165,3.5774526898284336
166,3.702819268056592
167,3.8654791198732226
168,3.991607361662601
169,4.100125117622819
170,4.200880051616399
171,4.371644363506867
172,4.111478612364616
173,3.5813248799028625
174,3.119428860021103
175,2.7011906729706707
176,2.5690456938103945
177,2.5783273231504937
178,2.579513183304166
179,2.5956212895889332
180,2.520734108319715
181,2.5208238823717557
182,2.5857896107813154
183,2.663033211467035
184,2.689449729239677
185,2.726891371005844
186,2.8835196761711632
187,3.1493237290269662
188,3.237599277541034
189,3.1471762102306844
190,2.95702989887559
191,2.8988813166042586
192,3.020719105522761
193,3.1216192737843254
194,3.181930525293168
195,3.2478330839842604
196,3.336836835641178
197,3.5045175006521165
198,3.836301395461049
199,4.319250877607245
200,4.694513995282371
201,4.32400523814207
202,3.563244827722392
203,2.255250611866516
204,1.9065731208685224
205,1.929594348444496
206,1.9011660860460289
207,1.8599624600075904
208,1.763826918353865
209,1.6497100967197962
210,1.5337028537653126
211,1.5048061727735935
212,1.5897797930037272
213,1.556803903738646
214,1.6394861888992431
215,1.7936402137194254
216,1.677920487669979
217,1.5692615937711523
218,1.4637107705325165
219,1.4305127688310746
220,1.4853979038234923
221,1.6107111848982953
222,1.7919159580266661
223,2.0132623218396857
224,2.259337458319194
225,1.95534908302273
226,1.9872689629210443
227,2.0989780233491335
228,2.1812224022742477
229,2.191888194047288
230,1.9807128721539657
231,1.9871321696114645
232,1.9806842129092987
233,2.0720828133609857
234,2.204852325467316
235,2.3218434093414277
236,2.2790649616636403
237,2.2323697300602774
238,2.2988894937817705
239,2.3691316595804066
240,2.543843607075166
241,2.8402376977071415
242,3.1797763735487123
243,3.468544963294476
244,3.4750447827821573
245,3.2161414140544076
246,2.8020310542505813
247,2.1833066974152673
248,1.8274494154384577
249,1.8477134596544824
250,1.6588978342223972
251,1.4775501980791301
252,1.5572945061401342
253,1.7912661894891053
254,1.6378291591416387
255,1.7643971948741444
256,1.9469056896226644
257,2.0736775683939594
258,2.1585954237731837
259,2.1736330139512607
260,2.1544169921599883
261,2.1057756284094937
262,2.0639613077402106
263,2.185871228564
264,2.270237170480426
