,MAPE (%)
0,1.6909943513043673
1,1.6707500333875969
2,1.6478303228718931
3,1.7069222944867803
4,1.6326890530516422
5,1.557112130246092
6,1.2933724926638164
7,1.0519972139149436
8,1.1186631477831557
9,1.0925303117822815
10,1.0424105939328263
11,1.0299701432195807
12,1.0585794543240965
13,1.1238280077116212
14,1.0116014688750496
15,1.103067968813232
16,1.2107193410807209
17,1.339496059605066
18,1.4324626932428717
19,1.499779604108762
20,1.471773766470447
21,1.4754380213137808
22,1.507608194681884
23,1.5490492637768896
24,1.6362326743409195
25,1.6479918512835927
26,1.6520692334349374
27,1.7141880992792031
28,1.7205114785721565
29,1.6057600529301874
30,1.475518685595303
31,1.382451644436025
32,1.4539615767076859
33,1.4384818756405133
34,1.4305120922808001
35,1.564137544521613
36,1.5298588406780342
37,1.5619299053103366
38,1.6622037761396182
39,1.7325627837411564
40,1.8906857567635078
41,1.912417683970634
42,1.8208070194850954
43,1.7631309536581905
44,1.746561342168769
45,1.6999216810457887
46,1.9449409980710972
47,1.901659363628246
48,1.818706274915279
49,1.732851347379908
50,1.6816183367312134
51,1.6950206903427805
52,1.7444473134839669
53,1.7028842515256055
54,1.4369238610273005
55,1.1983379231997824
56,1.2049633126269679
57,1.1101926952843633
58,1.1023409379188185
59,1.0525739507728937
60,0.9692804416573979
61,0.9567626261516908
62,1.2914307390188255
63,1.099261646580169
64,0.9060759362976105
65,0.72903198264803
66,0.6706247984032202
67,0.777135315556612
68,0.8053656326265263
69,0.8451376158291952
70,1.1106243450744326
71,1.2695418407438188
72,1.3272638322382686
73,1.276357124471386
74,1.3798464681676876
75,1.6620837317678299
76,1.7737338854252747
77,1.9156385791884878
78,1.987919582818281
79,2.0709576021487033
80,2.220389529511577
81,2.1605377278091966
82,2.0887711377837794
83,2.167596690644398
84,2.380566850468925
85,2.5336749741241364
86,2.555433967009316
87,2.467806478273778
88,2.356502113533107
89,2.406611331191049
90,2.5636685239455512
91,2.7810910176853794
92,2.8968704504244775
93,3.103223622430326
94,3.2902700531789937
95,3.4947799917787994
96,3.8511936344995648
97,4.343802932393576
98,4.709498569078659
99,4.960609929383981
100,5.1652156112305
101,5.379839820991938
102,5.427099852350379
103,5.32449169055853
104,5.1620674706110785
105,5.148579282780862
106,5.504153359863837
107,5.855378332728832
108,6.212960344753735
109,5.609865128359354
110,4.8065551812739855
111,4.252958963759341
112,3.939826311100683
113,3.9083481752800457
114,3.983368428936073
115,4.2303056681676
116,4.452185629436357
117,4.245257464921285
118,3.915033786994831
119,3.748585080515049
120,3.751803975170566
121,3.4965144426703025
122,2.951283103196441
123,2.498294048906903
124,2.5391404951914236
125,2.690820845366025
126,2.7645843490634547
127,2.654841502290434
128,3.5562167831430624
129,2.8042279563808346
130,2.605334671351741
131,2.557104008549006
132,2.5757229357024616
133,2.7323025777847674
134,2.89537954331945
135,2.7544344621102708
136,2.745736135668098
137,2.823970813029912
138,2.717570216858607
139,2.7616615239563345
140,2.9020387033469297
141,2.7669216424192276
142,2.684125989446282
143,2.8392004214409523
144,3.096544340453331
145,3.2717956581012766
146,3.4885837509804762
147,3.6306154400521358
148,3.6689107056750054
149,3.7501957845199234
150,3.63639021979048
151,3.4080060748608956
152,3.2777163436859076
153,3.228271259689566
154,3.036089729872379
155,2.9357149465002723
156,3.0829623782787774
157,3.3077062925147365
158,3.383177715569675
159,3.4235861494786466
160,3.415233850425948
161,3.479205652054958
162,3.623377692917498
163,3.7878096540966175
164,3.9900731397025955
165,3.8095065955893563
166,3.2677780022943996
167,2.911953396381937
168,2.753024434776261
169,2.700460205253181
170,2.731076147585453
171,2.7618461711947515
172,2.653563084697016
173,2.5680333241136593
174,2.5310810341222956
175,2.2454828864594614
176,2.0089861904177515
177,2.04074217357814
178,2.0781812777352338
179,2.1649454635136522
180,2.331279691513635
181,2.432271346716323
182,2.3070213148605343
183,2.357130279376096
184,2.4398355147063246
185,2.4833005297112987
186,2.539321255497483
187,2.6691979425364942
188,2.9268920158413327
189,2.761574352961869
190,2.7112019133858176
191,2.8025390792396645
192,2.9355665986933057
193,2.9999102666528223
194,3.0564677096910677
195,3.146681057541998
196,3.275836161610802
197,3.4541227842179993
198,3.695061654748535
199,4.064637266385578
200,4.474843874544618
201,4.283011416486382
202,3.7234217952260855
203,2.169155780986461
204,1.5790940948711478
205,1.4520835942283221
206,1.3246517306848504
207,1.2161786991814856
208,1.1820871950841565
209,1.1544373080704406
210,1.19528837050545
211,1.1810405072053254
212,1.2279363376560195
213,1.2979696570937607
214,1.3917958517943656
215,1.5999469625661344
216,1.736312314069628
217,1.763850111542676
218,1.7396320600820894
219,1.8500185280035872
220,2.0285707491282947
221,2.1704721237225626
222,2.29268108684259
223,2.5188119381883114
224,2.7771198477481316
225,2.439765686293778
226,2.4724693385407637
227,2.5341628370135214
228,2.491659005815954
229,2.4598510453820617
230,2.1878306008499715
231,2.1094934861158223
232,2.200071647771233
233,2.309649068623217
234,2.5774635092242275
235,2.886042888119282
236,3.0173529052783357
237,3.173764405035927
238,3.212028996179633
239,3.3461069041884466
240,3.467447857200714
241,3.6117347813893392
242,3.6694693391264646
243,3.7713821245747883
244,3.7079571685418165
245,3.5426452266489874
246,3.186122292471244
247,2.6248688317661806
248,2.2345195353604788
249,2.3296762672774234
250,2.2643678101189764
251,2.0092798591833647
252,1.846769010220388
253,1.8444328902803584
254,1.6419314037098804
255,1.5734018607271794
256,1.6145644233042125
257,1.768250698779274
258,1.9794971118964901
259,2.0716041777007406
260,1.9911530162528484
261,1.995183951130218
262,1.9149006843033753
263,1.93631063910463
264,1.9964733444582148
265,1.9768848452016197
266,1.8677871438239988
267,1.7686780633905084
268,1.6876773444216095
269,1.5743035227444844
270,1.5146639149952972
271,1.5771569252510536
272,1.6537362843617442
273,1.4952180557046602
274,1.514694227902768
275,1.5664692983125152
276,1.5929302887533636
277,1.4957694880507264
278,1.546669192635767
279,1.5432308327888449
280,1.5065407337079941
281,1.5477796095693088
282,1.699205118795757
283,2.1264387511890446
284,2.749347239455443
