,MAPE (%)
0,2.0723654988659463
1,2.7162719411340643
2,2.8093742860335835
3,2.932967890239973
4,2.8906219533213835
5,2.910979004825219
6,2.7898060508187643
7,2.610406582730683
8,2.8307569637972856
9,3.442730411160724
10,3.294705823906753
11,3.064565338521113
12,2.903557854826124
13,2.7966928709406464
14,2.338521479034652
15,2.2546240141477587
16,2.4388124774935327
17,2.4167700840174255
18,2.405615669318023
19,2.220854556665114
20,2.1228246428872484
21,2.3058089168566798
22,2.200443129646684
23,1.6693826193417722
24,1.3693521483148645
25,1.219318680925353
26,1.199988351747987
27,1.1903905450973875
28,1.1858493946187756
29,1.165226930611862
30,1.1954990415542555
31,1.1588850589556297
32,1.0716560405933784
33,1.0036996590626048
34,1.044344301350983
35,1.1483312311891234
36,1.389640305333986
37,1.490133546912034
38,1.5599336371507753
39,1.8263830754545864
40,1.7083099240263584
41,1.5707391589584303
42,1.5446983939247987
43,1.5327363525350128
44,1.591241405554067
45,1.5906356219742723
46,1.724134260001363
47,1.684685912322594
48,1.6974048712249101
49,1.6882546070496982
50,1.6409110733574663
51,1.6246299987471853
52,1.6118637385803782
53,1.5710072770897678
54,1.5365341532750103
55,1.565583743757571
56,1.5054067689160224
57,1.3838645377208163
58,1.3906275904994054
59,1.3234261198656678
60,1.2424434304153842
61,1.0772224602964322
62,1.1237941589103018
63,1.0142524626803382
64,0.822655828862799
65,0.7726854846068877
66,0.8554027867657601
67,1.0604219110246411
68,1.2598079053309028
69,1.1028287007491633
70,0.992657513585527
71,0.9289901677264832
72,0.8646213867813313
73,0.8276880946264991
74,1.0059123323159158
75,1.214742978675597
76,1.3541365924943534
77,1.532914698087904
78,1.7356878678094372
79,1.908617018501789
80,2.005939589939764
81,2.221471720534651
82,2.311114538997474
83,2.571235029244143
84,2.796993930782275
85,2.9285549622611327
86,2.886196718723149
87,2.8227601261335145
88,2.876252378586665
89,2.8485428965780524
90,2.80899582138799
91,2.7139760757318143
92,2.647085289473571
93,2.768119409644407
94,2.8337351905055748
95,2.788730968207617
96,2.899597365690078
97,3.246569549694881
98,3.668848036138275
99,3.788292749195547
100,3.590711519104184
101,3.4640482699454656
102,3.4080048210734635
103,3.3075366129208827
104,3.174266732730143
105,3.162717762745714
106,3.3852797654446585
107,3.287520308883776
108,3.3621564199883833
109,2.752200666196351
110,2.351940358574055
111,2.137814076050246
112,2.0074163386498687
113,2.141657454813834
114,2.4676489910669153
115,2.843249554969833
116,3.0956321945387937
117,3.021619351944025
118,3.021140688022535
119,2.836770579949177
120,2.7527199591240907
121,2.6997012811920222
122,2.614177580115441
123,2.5732078996631658
124,2.50411589545685
125,2.719318916589688
126,2.9482117160525494
127,3.2561447037468056
128,3.543664409190722
129,3.551728462169463
130,3.701831621327793
131,3.571847970495712
132,3.6361945160382945
133,3.7196719673537144
134,3.5783549227894853
135,3.402739473319074
136,3.3495389165123903
137,3.5279207151541008
138,3.344790271217081
139,3.3197075272863987
140,3.517823368959178
141,3.4720411956476815
142,3.3054437101748944
143,3.4614112843597438
144,3.942491493779279
145,4.282136281064577
146,4.44533642418606
147,4.439870983945785
148,4.383532054401278
149,4.560916898378584
150,4.663574833701365
151,4.701809180090398
152,4.906890588890832
153,5.230061541937908
154,5.359327985693636
155,5.292552237346134
156,5.236730021670623
157,5.180436463424446
158,5.218717664633888
159,5.303606912257854
160,5.437164360388617
161,5.580381187303951
162,5.78876668453138
163,5.987145809067954
164,6.068771662080822
165,5.990022138089709
166,5.686519642307026
167,5.292896001423478
168,5.039301183106037
169,4.961283143378114
170,4.789423012867074
171,4.721089067657968
172,4.302002761826248
173,3.9386905271728017
174,3.731170610788919
175,3.401420581385703
176,3.204833485772053
177,3.1321223330611514
178,2.6654800421127307
179,2.4352403503216244
180,2.480891517712051
181,2.5826591072299463
182,2.72830456531853
183,2.726920029021956
184,2.7659914712358824
185,2.773579656042233
186,2.8100359999081386
187,2.9871839701422345
188,3.1311559055392775
189,2.854119303820086
190,2.927705771355895
191,3.0226944349582183
192,3.0576966412087785
193,3.101750865942129
194,3.1988173517545246
195,3.2469188367897854
196,3.2737413818424086
197,3.3567651831048213
198,3.468976861492776
199,3.6490906050531793
200,3.882178246850052
201,3.316692215660804
202,2.610522649551276
203,1.6593832773914574
204,1.6563384929570792
205,1.6130364036184748
206,1.5607709870415958
207,1.6704207653514265
208,1.6743876283080452
209,1.6931638181992212
210,1.6750372023364948
211,1.6704095842096558
212,1.781484522735477
213,1.7565271259795567
214,1.7757560617649473
215,1.8367426265499587
216,1.722819504862359
217,1.7167773193716516
218,1.7678139865405635
219,1.8648089686870366
220,1.9427585721352507
221,1.9968846211001305
222,2.1179944134598205
223,2.3592849961526117
224,2.5761432293091144
225,1.9456184114807453
226,1.7987659235438282
227,1.701266609147277
228,1.7127396042066072
229,1.7133285057352343
230,1.6636987380858348
231,1.568833538840134
232,1.5362397736497704
233,1.4021403487489952
234,1.3168680766475467
235,1.2298768930840414
236,1.14763960712288
237,1.0887291939856263
238,1.1558890045094299
239,1.1884327120998643
240,1.2466943867459808
241,1.2951784453799127
242,1.337516517531522
243,1.5099461634210507
244,1.5463007250931284
245,1.439382615724591
246,1.2450201969186079
247,1.0487457599171357
248,1.1790664067756387
249,1.2827159965990393
250,1.2261808074579228
251,1.2957901397457576
252,1.4391171161540255
253,1.5203623862419162
254,1.5540686068532585
255,1.4966916964304031
256,1.7056517440241712
257,1.8291617205041129
258,1.812007125446174
259,1.5505511164699606
260,1.251200104604352
261,1.3370160098046524
262,1.3597603830429743
263,1.3180929941840205
264,1.2961931394945205
265,1.302631481118617
266,1.3715030261623733
267,1.4709653405862007
268,1.5878249461083362
269,1.6645533039965164
270,1.6668059394161234
271,1.6323367571623768
272,1.6534955170485324
273,1.7415293670858079
274,1.7497775799915967
275,1.9137880853735423
276,2.161539450302594
277,2.4015915042637017
278,2.6282823123065056
279,2.6151027845382373
280,2.6255823650887833
281,2.449194798081111
282,2.2711309842966423
283,2.0189551277882063
284,1.8713014528326541
285,1.935368857002291
286,1.978431289555473
287,1.9331433136590939
288,1.9064278305609976
289,1.832203488110054
290,1.7810883990080424
291,1.7793649530843831
292,1.7727547814446
293,1.8093936503245576
294,1.8086949824936847
295,1.7273810780911674
296,1.7312107113361754
297,1.7102737840582922
298,1.5250942765399111
299,1.5304754503958042
300,1.5165744620530397
301,1.51913543952559
302,1.3556669784495317
303,1.3299498178780136
304,1.2557289408003995
305,1.139941585794167
306,1.1913914844786389
307,1.1615390897988052
308,1.2387348926828552
309,1.287222232775416
310,1.3583144863101575
311,1.3635507367840567
312,1.4596149545115658
313,1.5254259935372796
314,1.601235665215468
315,1.611611759819316
316,1.5408383438084408
317,1.4213045761833198
318,1.2844163617216395
319,1.3068844497179435
320,1.4298746249205154
321,1.3242687112694813
322,1.4191137339205344
323,1.40621267227076
324,1.2787407900684782
325,1.2399991248760673
326,1.2490823554396937
327,1.34686227044113
328,1.3575057826383212
329,1.287039223580366
330,1.2751648762424912
331,1.3441521208082432
332,1.5697419663596475
333,1.5698357441659914
334,1.6166358579954472
335,1.629586156620741
336,1.5495630419551905
337,1.5500127679776083
338,1.5555812874501989
339,1.6506487434059187
340,1.7444631273750133
341,1.8458512029516367
342,1.9169783792651371
343,1.8635032532033924
344,1.8459089447687098
345,1.923577146828499
346,1.9516456077362119
347,2.0522204283343064
348,1.935448077457538
349,1.801430300322572
350,1.8088077292790086
351,1.7466120147407247
352,1.755018712885759
353,1.7290411857673802
354,1.7776351198466926
355,1.866485182723908
356,2.0452450842950958
357,1.9397357682261358
358,1.9571557667972403
359,1.946043831574103
360,1.9631388173279913
361,2.022309581381286
362,2.1795590798149314
363,2.4386210578893364
364,2.6494110225316145
365,2.8423045995847027
366,3.0805385292862018
367,3.293393868560425
368,3.325953684665988
369,3.41772707490526
370,3.741620405658683
371,3.676830208604201
372,3.3442699820837336
373,3.368947494554961
374,3.4973696339379976
375,3.6316682808982086
376,3.7223818044076484
377,3.7896714598494023
378,3.8262863818863715
379,3.8574472608358645
380,3.9379589760060147
381,3.8971635074369493
382,3.9281418219648296
383,3.902418509112921
384,4.112385057201783
385,4.298955752928809
386,4.466962178515063
387,4.597373704898033
388,4.74471443672481
389,4.864957667708398
390,5.0302275764184285
391,5.092801462210137
392,5.087973117013816
393,5.136594083214426
394,5.2297390463753
395,5.074108078116321
396,4.758991074133678
397,4.198768109105229
398,3.6935808504726717
399,3.4750268626472827
400,3.3013318782498016
401,3.330859771043257
402,3.295384314353396
403,3.280031577599227
404,3.50254694122655
405,3.229024100721609
406,3.0518879964865535
407,2.9664357798407712
408,2.907714984076491
409,2.9097638179096363
410,2.8921747776236533
411,2.866279260604431
412,2.9434426302302934
413,3.0552541338023302
414,3.1760003129246677
415,3.3129211370483276
416,3.1678965175313794
417,2.964755676392031
418,3.0152098738046402
419,2.1607822981322147
420,1.6786174697743061
421,1.7658051651927127
422,1.8336024546464817
423,1.9169268939148993
424,1.9787916958072613
425,2.0426292391901217
426,2.0244408885378755
427,2.057225859602284
428,2.277753349767349
429,2.270830589352036
430,2.3311452608527095
431,2.684656237850951
432,2.9665525502645855
433,3.245713601982234
434,3.4864029131050174
435,3.6537222400712865
436,3.7972123611653608
437,3.710887105498448
438,3.3427228106119173
439,2.969086146313778
440,2.6805402300685235
441,2.4623739322495246
442,2.6062654632996796
443,3.093201590782861
444,3.453201581225804
445,3.7863689684910837
446,3.9731774929820376
447,4.137042068047327
448,4.119704984405498
449,3.727084192278613
450,3.055322793222372
451,2.7160825161136404
452,3.0018323057620604
453,3.42561794404602
454,3.766883398351703
455,4.104304948430134
456,4.191865428625882
457,4.507284819367481
458,4.930161153880193
459,5.004323296750232
460,4.667299406407306
461,3.953902408147142
462,3.1225498639434703
463,2.6288620569172676
464,2.6496498053999566
465,2.9256050278174555
466,2.8621794062782486
467,2.9809452920865525
468,3.1037830315065422
469,3.0871752502220096
470,3.1327395478821227
471,3.186681885709565
472,3.2733960853346282
473,3.3434788153065926
474,3.4409244459826045
475,3.6034707559420593
476,3.7817480816362403
477,3.8943304531095637
478,4.027569722557738
479,4.345414029380961
480,4.901115011996129
481,5.2536902113158614
482,5.456977738172926
483,5.530908735951404
484,5.527449023801274
485,5.359585427376356
486,4.799924564079353
487,4.180634580533004
488,3.7846431802907796
489,3.7251687087778254
490,3.3597913139672038
491,3.3145811612478577
492,3.2463973674651108
493,2.9854622216036835
494,2.646004976242135
495,2.2064567175684746
496,2.003936668760221
497,1.9643309655904637
498,2.022945386735119
499,2.0291748206325972
500,2.0359700629396107
501,2.150390603871812
502,2.1555237483078487
503,2.2550025574817227
504,2.35500109083508
505,2.4349755338615817
506,2.4623476220852694
507,2.446954451000041
508,2.454887667835183
509,2.596718983982724
510,2.737352360899442
511,2.8440673484215435
512,3.0921698693189374
513,3.501486779652291
514,3.353038415406473
515,3.364213542390096
516,3.5156427345607906
517,3.8838347396984614
518,4.054134459060468
519,4.042024767597866
520,4.058233717732687
521,3.8317977714180516
522,3.470076954322084
523,2.858415261855515
524,2.601175937442419
525,2.8809761847354256
526,2.963996645079656
527,2.541167468686924
528,2.245856324377792
