,MAPE (%)
0,1.802388301566603
1,2.0646607532474097
2,2.127695975017515
3,2.2239886463139453
4,2.395179315722648
5,2.517169030050499
6,2.464360638990502
7,2.596344191033452
8,2.7545488582402426
9,2.681553980801565
10,2.949884029032606
11,3.1362924136047425
12,3.155928953353107
13,3.006524967900234
14,2.6649878180523663
15,2.4638588168375684
16,2.3005681081606677
17,2.1408211799294237
18,2.0519128195096976
19,1.9296922804221197
20,1.8829861635929035
21,1.9253780818307673
22,2.1165794187423215
23,2.3059983942391478
24,2.4096444682728655
25,2.473570614331446
26,2.439498772523214
27,2.3031488229013948
28,2.1402585448182636
29,2.1005402716246575
30,1.8376080780683468
31,1.5296596285384907
32,1.3526509422558237
33,1.1090568908407834
34,1.0565711370582342
35,1.077076815394679
36,1.1554161140438144
37,1.3304672008646223
38,1.3731283991645349
39,1.3386011105354683
40,1.1941431017495026
41,1.175666374505827
42,1.1666140593892225
43,1.1132488596460344
44,1.0746738023408806
45,1.13430071600506
46,1.1939545842222736
47,1.2222861794399489
48,1.2190892499958226
49,1.2339839574788098
50,1.2529126230102474
51,1.3763657065233694
52,1.3093575506228659
53,1.1677620862965203
54,1.1222869364338528
55,1.133167127103806
56,1.1114370182577231
57,0.9018569599196888
58,0.8396068428918845
59,0.8417855747848575
60,0.8706388306779521
61,0.8538985114680174
62,0.8951399767928074
63,0.9158671973811009
64,0.9487190045206539
65,0.9824872019669256
66,1.0358616087848793
67,1.119319597988232
68,1.1777075513471493
69,1.2130961817250503
70,1.2081773398621887
71,1.2707175678825142
72,1.394240535384527
73,1.5397637245583637
74,1.6497976388498747
75,1.7782747214601071
76,1.8507630252453031
77,1.8799102366038334
78,1.7610530499821673
79,1.5858601895168898
80,1.5254519731552403
81,1.1146989111339065
82,1.2028223019382969
83,1.2516503760380229
84,1.2065755211451477
85,1.2380616400849005
86,1.2389334159724907
87,1.1389361799869597
88,1.035867081666484
89,0.996463999558065
90,1.0355161526436092
91,1.113374887951
92,1.2326529219800315
93,1.2702486732760245
94,1.3633486235877015
95,1.3337132301683696
96,1.3648394909326687
97,1.34296302770762
98,1.3283921975867075
99,1.4027283057987434
100,1.410857397377823
101,1.3995740686089673
102,1.115574476045243
103,0.9118741677743311
104,0.9786310163840697
105,0.9367916243242841
106,1.1529600966132354
107,1.080116614597818
108,0.8817066948721268
109,0.9191196243182709
110,0.9341499605517145
111,0.8790150935649663
112,0.8659005278829001
113,0.9027763008722233
