,MAPE (%)
0,1.5269533855031896
1,1.5521515512314201
2,1.5313487948279332
3,1.5717631027101768
4,1.6685869217669445
5,1.7821805801415995
6,1.942430546393915
7,2.178207645933171
8,2.4497352043965614
9,2.513804934059187
10,2.6227950700694755
11,2.693926514195034
12,2.6340278673665134
13,2.5429127949683434
14,2.3744116068895673
15,2.1157496034491774
16,1.8727117171740568
17,1.699679404253561
18,1.6125238735922933
19,1.488164842599544
20,1.4214033953446685
21,1.4058925806875349
22,1.3877586701333484
23,1.4443047346738205
24,1.507306076604956
25,1.5344272498324631
26,1.5344348042451834
27,1.448579741650069
28,1.3684110085938546
29,1.3701403548108357
30,1.2792756273985042
31,1.1447917580581124
32,1.070098576913889
33,0.9123501997851825
34,0.8873506705571154
35,0.8579538013601347
36,0.8945209212522676
37,1.0647185231502014
38,1.0999712516140914
39,1.1194440557418546
40,1.1460340668358555
41,1.2009776346145487
42,1.2215112110557669
43,1.213293697846566
44,1.237925250210172
45,1.3478128111184593
46,1.5190232339036518
47,1.5688440124697132
48,1.4695893665890072
49,1.303303868770671
50,1.1604989989255141
51,1.0761616696356242
52,1.0613308362410758
53,1.0664219570309421
54,1.0749246518916493
55,1.0602629707660163
56,1.1213704507562225
57,1.3773932124728259
58,1.45218747560121
59,1.5376239196115724
60,1.553449543417705
61,1.3338577644153238
62,1.233887640320156
63,1.2259497551155252
64,1.2717851038425612
65,1.3097469134557809
66,1.2401042974692909
67,1.1870852639612288
68,1.1358075965972951
69,1.1571235104910533
70,1.0983683326273659
71,0.8970517261211579
72,0.6870686305670458
73,0.5684716024804377
74,0.5288757965363833
75,0.541926280163034
76,0.6009729026270443
77,0.6356035684453871
78,0.6120375478111867
79,0.577267714963423
80,0.5355620832891267
81,0.5461117089036194
82,0.544832105080962
83,0.5307647361289903
84,0.5148800182340716
85,0.5133745113875597
86,0.5202957413562278
87,0.5626461810856307
88,0.5857602406845078
89,0.6359757546505653
90,0.6289506560767483
91,0.5893182850106495
92,0.5663804350755619
93,0.6146314425137913
94,0.6204890639080219
95,0.6028204358196849
96,0.6427021117808529
97,0.669678983169375
98,0.6972783107551266
99,0.7215435899491757
100,0.7344650646870173
101,0.7335113037704162
102,0.7186455009063717
103,0.7134117635898161
104,0.7408528584606774
105,0.7915205536965385
106,0.7710136534116759
107,0.7828000643209374
108,0.7896914086531525
109,0.8271624723974947
110,0.763822450555601
111,0.7311915588293207
112,0.756787811347334
113,0.7827013168440987
114,0.7588000250023509
115,0.7485583991358935
116,0.7505068003334306
117,0.7619733176575463
118,0.8052707772772066
119,0.7764591843030034
