,MAPE (%)
0,1.558984752509092
1,1.6439114278249498
2,1.6369374431784822
3,1.72504477955892
4,1.81956082697298
5,1.8612989213956685
6,1.8375449521134772
7,1.9390441218623617
8,2.0251164367238657
9,2.0562293028994136
10,2.117327654728389
11,2.2375572158235024
12,2.269324263962596
13,2.1333412828339378
14,1.8338588127532574
15,1.64295455079107
16,1.521564988590673
17,1.4367638061328383
18,1.3689144713148396
19,1.2618121712549444
20,1.1935667683373476
21,1.1669079733093617
22,1.1522121040897788
23,1.2026132274811885
24,1.2537797733968914
25,1.3327620963591473
26,1.3785564643444608
27,1.344915867420664
28,1.2960880129640953
29,1.3204099352532146
30,1.1865097531501647
31,0.9721936789451053
32,0.8318145284562009
33,0.7342813987360943
34,0.690632259616728
35,0.7009853824504066
36,0.7344731453580033
37,0.7962780032257356
38,0.8204385536174176
39,0.8238069382959293
40,0.8671606548791212
41,0.8762100663049943
42,0.8950659313846258
43,0.9133183739167772
44,0.9373194980278889
45,1.0124499923173844
46,1.0576118712747582
47,0.9984738553496542
48,0.8681270093123772
49,0.7785729980037838
50,0.8055972180032225
51,0.9350375480758937
52,0.9546069964571033
53,0.8964956887976874
54,0.8781979838161427
55,0.849862495467708
56,0.7784553386176957
57,0.7217157862928928
58,0.7043003123804843
59,0.7207029023813538
60,0.6994998488512507
61,0.7264079895771347
62,0.6773421180898054
63,0.6973062151089526
64,0.7562044253918909
65,0.776445354718643
66,0.8117790164145162
67,0.8711684131986114
68,0.9216960746640597
69,0.9447651025993857
70,0.9001589812921006
71,0.8643079409912833
72,0.926301801312488
73,1.0686012081854634
74,1.252966322282777
75,1.3955730029748041
76,1.4809214700022215
77,1.5255227214294782
78,1.493100293700062
79,1.3997601188355797
80,1.2879063545540779
81,1.084720491076587
82,1.0544265726361408
83,1.0382797481057362
84,0.9961990929778515
85,1.007659275278318
86,0.9506817517362074
87,0.8323880596310557
88,0.7750034389791137
89,0.7322251566400739
90,0.7241174656796092
91,0.7406793638207646
92,0.7505471833816446
93,0.7705653423318897
94,0.8485503069645403
95,0.876004502512855
96,0.9322480784496496
97,0.9294668559315834
98,0.9132861634700861
99,0.9481980375162329
100,0.9473323336653754
101,0.9646422357020099
102,0.8443375769940263
103,0.734818850854516
104,0.721823028710566
105,0.70549881062899
106,0.7391551480214864
107,0.7343234176232291
108,0.6961365707963725
109,0.6796942188228037
110,0.7049399507471592
111,0.734226493301466
112,0.7812780356180857
113,0.7885969025390864
114,0.7489226159534543
115,0.7509644127391417
116,0.7413353046605435
117,0.777815256598399
118,0.8335982879970449
119,0.8109685822227606
120,0.7902894951234014
121,0.7739126555904484
122,0.7979982426384779
123,0.8548788700332478
124,0.8792663009854444
125,0.8889333670648182
126,0.9332489637289079
127,0.9567115164426399
128,0.9529015464128555
129,0.8173776926025299
130,0.8034117310518005
131,0.826803927946487
132,0.7812227625366688
133,0.7237635175558209
134,0.7623226271301492
135,0.794960694166705
136,0.7880319528424664
137,0.8436413617496573
138,0.8202604895825204
139,0.8366475593513844
140,0.829043083384786
141,0.7822433925075374
142,0.8038737870769151
143,0.8015040813273167
144,0.7952254796881204
145,0.7932313368660644
146,0.8039380544628916
147,0.8301066582100033
148,0.8737052191756677
149,0.8722538372284471
150,0.8743506691404119
151,0.8572656173984099
152,0.8070579566662757
153,0.7677100134451048
154,0.8152906539582356
155,0.8476391901797059
156,0.8399623195632387
157,0.9103749664518865
158,0.9622239507703035
159,0.9499169802606157
160,0.9649488961577323
161,1.0150299137633592
162,0.9349863624830267
163,0.9599482228516775
164,0.9811251976894774
165,1.0368563323750695
166,1.0611433424801668
167,1.0731217198668728
168,1.1177148400367471
169,1.1192301974407257
170,1.1397893789844027
171,1.1935746726567764
172,1.249209164069569
173,1.3327169406415653
174,1.2863018334155005
175,1.2110764601550035
176,1.1679321190087002
177,1.1714303019423409
178,1.1806719003696442
179,1.1905941727337994
180,1.1886015254536486
181,1.230590895527509
182,1.1747065768926306
183,1.1480953139965835
184,1.1628177399720594
185,1.2040008641098634
186,1.2781267520782287
187,1.3797380810293554
188,1.4593250991662527
189,1.414981325792984
190,1.3126605888793659
191,1.401174075202958
192,1.4684657792087168
193,1.5093662196834592
194,1.6019167681666198
195,1.6310854696542503
196,1.72159555243956
197,1.8296912455164436
198,1.6884721507504898
199,1.4879300850790307
200,1.365080481467152
201,1.1074812912232854
202,1.1006820782226763
203,1.1235305679482603
204,1.1347452124170792
205,1.1747102933302425
206,1.157172940772895
207,1.136591488435034
208,1.1132082615401278
209,1.1411254850851775
210,1.151691740443437
211,1.159251999967582
212,1.1760547965444579
213,1.2054018085703286
214,1.2398365632860224
215,1.2302956648060397
216,1.20775770544253
217,1.2295169464124167
218,1.3004790348070958
219,1.4162969790508062
220,1.5084770578320967
221,1.493616498549419
222,1.2311513233762192
223,1.0248838871429558
224,0.915528413811326
225,0.9075211096065657
